genes,gene_short_name,GC_content,Gene_type,Transcript_name
ACBD3,ACBD3,41.45,protein_coding,ACBD3-201
ACBD5,ACBD5,40.95,protein_coding,ACBD5-205
ACBD6,ACBD6,37.67,protein_coding,ACBD6-202
ACBD7,ACBD7,45.19,protein_coding,ACBD7-201
ACE,ACE,58.35,protein_coding,ACE-219
ACER1,ACER1,49.82,protein_coding,ACER1-201
ACER3,ACER3,38.74,protein_coding,ACER3-214
ACIN1,ACIN1,45.36,protein_coding,ACIN1-222
ACKR2,ACKR2,44.24,protein_coding,ACKR2-211
ACLY,ACLY,49.89,protein_coding,ACLY-201
ACO1,ACO1,41.71,protein_coding,ACO1-202
ACO2,ACO2,50.27,protein_coding,ACO2-201
ACOT11,ACOT11,51.2,protein_coding,ACOT11-204
ACOT13,ACOT13,41.43,protein_coding,ACOT13-201
ACOT9,ACOT9,44.6,protein_coding,ACOT9-204
ACOX1,ACOX1,44.18,protein_coding,ACOX1-201
ACOXL,ACOXL,42.65,protein_coding,ACOXL-202
ACP1,ACP1,42.67,protein_coding,ACP1-212
ACP6,ACP6,43.65,protein_coding,ACP6-206
ACP7,ACP7,49.67,protein_coding,ACP7-204
ACSBG1,ACSBG1,48.23,protein_coding,ACSBG1-201
ACSF2,ACSF2,49.96,protein_coding,ACSF2-218
ACSF3,ACSF3,55.16,protein_coding,ACSF3-209
ACSL1,ACSL1,44.71,protein_coding,ACSL1-202
ACSL3,ACSL3,39.46,protein_coding,ACSL3-201
ACSL6,ACSL6,48.14,protein_coding,ACSL6-227
ACSM2A,ACSM2A,40.51,protein_coding,ACSM2A-210
ACSM2B,ACSM2B,39.17,protein_coding,ACSM2B-201
ACSM3,ACSM3,41.08,protein_coding,ACSM3-213
ACSM6,ACSM6,39.78,protein_coding,ACSM6-201
ACSS1,ACSS1,52,protein_coding,ACSS1-204
ACSS2,ACSS2,45.42,protein_coding,ACSS2-218
ACTA2,ACTA2,40.29,protein_coding,ACTA2-201
ACTB,ACTB,56.7,protein_coding,ACTB-217
ACTG1,ACTG1,61.09,protein_coding,ACTG1-205
ACTL6A,ACTL6A,39.25,protein_coding,ACTL6A-202
ACTN1,ACTN1,50.81,protein_coding,ACTN1-201
ACTN4,ACTN4,53,protein_coding,ACTN4-210
ACTR10,ACTR10,38.67,protein_coding,ACTR10-202
ACTR1A,ACTR1A,50.48,protein_coding,ACTR1A-207
ACTR2,ACTR2,39.48,protein_coding,ACTR2-201
ACTR3,ACTR3,36.57,protein_coding,ACTR3-201
ACTR3B,ACTR3B,43.36,protein_coding,ACTR3B-202
ACTR3C,ACTR3C,43.31,protein_coding,ACTR3C-204
ACTR6,ACTR6,41,protein_coding,ACTR6-210
ACVR2A,ACVR2A,35.46,protein_coding,ACVR2A-205
ACVR2B,ACVR2B,47.63,protein_coding,ACVR2B-201
ACY1,ACY1,57.27,protein_coding,ACY1-215
ACYP2,ACYP2,40.31,protein_coding,ACYP2-207
ADA2,ADA2,48.88,protein_coding,ADA2-203
ADAL,ADAL,39.86,protein_coding,ADAL-204
ADAM10,ADAM10,37.34,protein_coding,ADAM10-201
ADAM17,ADAM17,41.31,protein_coding,ADAM17-201
ADAM32,ADAM32,37.7,protein_coding,ADAM32-215
ADAM9,ADAM9,33.58,protein_coding,ADAM9-212
ADAMTS1,ADAMTS1,45.12,protein_coding,ADAMTS1-201
ADAMTS4,ADAMTS4,51.47,protein_coding,ADAMTS4-202
ADAMTSL3,ADAMTSL3,39.81,protein_coding,ADAMTSL3-201
ADAP1,ADAP1,60.61,protein_coding,ADAP1-201
ADAP2,ADAP2,48.03,protein_coding,ADAP2-208
ADAR,ADAR,45.36,protein_coding,ADAR-202
ADAT1,ADAT1,44.65,protein_coding,ADAT1-210
ADAT2,ADAT2,38.38,protein_coding,ADAT2-203
ADCY2,ADCY2,40.93,protein_coding,ADCY2-201
ADCY6,ADCY6,54.36,protein_coding,ADCY6-203
ADCY7,ADCY7,54.43,protein_coding,ADCY7-207
ADCY9,ADCY9,47.27,protein_coding,ADCY9-207
ADD1,ADD1,44.84,protein_coding,ADD1-213
ADD2,ADD2,44.81,protein_coding,ADD2-203
ADD3,ADD3,38.65,protein_coding,ADD3-205
ADGRA3,ADGRA3,39.05,protein_coding,ADGRA3-210
ADGRD1,ADGRD1,51.87,protein_coding,ADGRD1-210
ADGRE2,ADGRE2,46.7,protein_coding,ADGRE2-201
ADGRE5,ADGRE5,54.66,protein_coding,ADGRE5-209
ADGRF1,ADGRF1,40.34,protein_coding,ADGRF1-203
ADGRG1,ADGRG1,55.51,protein_coding,ADGRG1-240
ADGRG2,ADGRG2,42.96,protein_coding,ADGRG2-208
ADGRV1,ADGRV1,37.22,protein_coding,ADGRV1-207
ADH1B,ADH1B,36.47,protein_coding,ADH1B-201
ADH4,ADH4,37.53,protein_coding,ADH4-209
ADH5,ADH5,40.37,protein_coding,ADH5-201
ADI1,ADI1,44.46,protein_coding,ADI1-201
ADIPOR1,ADIPOR1,44.28,protein_coding,ADIPOR1-201
ADIPOR2,ADIPOR2,39.4,protein_coding,ADIPOR2-204
ADIRF,ADIRF,49.56,protein_coding,ADIRF-201
ADK,ADK,37.43,protein_coding,ADK-209
ADM2,ADM2,63.62,protein_coding,ADM2-202
ADNP,ADNP,41.67,protein_coding,ADNP-202
ADNP2,ADNP2,41.68,protein_coding,ADNP2-201
ADPGK,ADPGK,43.53,protein_coding,ADPGK-214
ADPRHL1,ADPRHL1,55.43,protein_coding,ADPRHL1-204
ADRA1A,ADRA1A,41.26,protein_coding,ADRA1A-206
ADRB3,ADRB3,58.89,protein_coding,ADRB3-201
ADRM1,ADRM1,64.09,protein_coding,ADRM1-204
ADSL,ADSL,44.97,protein_coding,ADSL-211
ADSS,ADSS,38.09,protein_coding,ADSS-201
ADSSL1,ADSSL1,60.75,protein_coding,ADSSL1-201
AEBP2,AEBP2,40.33,protein_coding,AEBP2-206
AEN,AEN,51.37,protein_coding,AEN-201
AFAP1,AFAP1,46.39,protein_coding,AFAP1-202
AFDN,AFDN,38.79,protein_coding,AFDN-209
AFF1,AFF1,41.19,protein_coding,AFF1-205
AFF3,AFF3,41.69,protein_coding,AFF3-202
AFF4,AFF4,40.42,protein_coding,AFF4-201
AFG1L,AFG1L,39.14,protein_coding,AFG1L-201
AFG3L2,AFG3L2,44.7,protein_coding,AFG3L2-201
AFMID,AFMID,51.08,protein_coding,AFMID-202
AFTPH,AFTPH,37.29,protein_coding,AFTPH-202
AGAP1,AGAP1,47.33,protein_coding,AGAP1-204
AGAP3,AGAP3,57.73,protein_coding,AGAP3-221
AGAP4,AGAP4,41.11,protein_coding,AGAP4-203
AGAP6,AGAP6,41.1,protein_coding,AGAP6-203
AGBL2,AGBL2,44.9,protein_coding,AGBL2-206
AGFG1,AGFG1,37.09,protein_coding,AGFG1-205
AGK,AGK,39.27,protein_coding,AGK-227
AGL,AGL,36.33,protein_coding,AGL-203
AGMAT,AGMAT,49.29,protein_coding,AGMAT-201
AGO1,AGO1,44.84,protein_coding,AGO1-202
AGO2,AGO2,51.18,protein_coding,AGO2-201
AGO3,AGO3,38.75,protein_coding,AGO3-202
AGO4,AGO4,41.67,protein_coding,AGO4-201
AGPAT1,AGPAT1,50.59,protein_coding,AGPAT1-211
AGPAT3,AGPAT3,51.65,protein_coding,AGPAT3-201
AGPAT5,AGPAT5,38.19,protein_coding,AGPAT5-201
AGPS,AGPS,36.49,protein_coding,AGPS-201
AGR2,AGR2,38.42,protein_coding,AGR2-203
AGRN,AGRN,65.71,protein_coding,AGRN-201
AHCTF1,AHCTF1,38.75,protein_coding,AHCTF1-203
AHCY,AHCY,50.38,protein_coding,AHCY-201
AHCYL1,AHCYL1,40.92,protein_coding,AHCYL1-202
AHCYL2,AHCYL2,39.97,protein_coding,AHCYL2-201
AHDC1,AHDC1,56.39,protein_coding,AHDC1-201
AHI1,AHI1,36.31,protein_coding,AHI1-204
AHNAK,AHNAK,50.05,protein_coding,AHNAK-205
AHR,AHR,36.63,protein_coding,AHR-207
AHSA1,AHSA1,46.04,protein_coding,AHSA1-205
AICDA,AICDA,41.39,protein_coding,AICDA-201
AIDA,AIDA,38.46,protein_coding,AIDA-201
AIFM1,AIFM1,42.98,protein_coding,AIFM1-205
AIG1,AIG1,39.66,protein_coding,AIG1-204
AIMP1,AIMP1,36.63,protein_coding,AIMP1-204
AIMP2,AIMP2,46.93,protein_coding,AIMP2-201
AIP,AIP,56.24,protein_coding,AIP-203
AK1,AK1,60.13,protein_coding,AK1-206
AK2,AK2,46.32,protein_coding,AK2-217
AK3,AK3,41.46,protein_coding,AK3-204
AK4,AK4,42.62,protein_coding,AK4-206
AK6,AK6,41.65,protein_coding,AK6-206
AK7,AK7,44.18,protein_coding,AK7-201
AK9,AK9,38.27,protein_coding,AK9-207
AKAP1,AKAP1,49.96,protein_coding,AKAP1-216
AKAP10,AKAP10,41.26,protein_coding,AKAP10-201
AKAP11,AKAP11,36.45,protein_coding,AKAP11-201
AKAP13,AKAP13,39.92,protein_coding,AKAP13-220
AKAP17A,AKAP17A,60.91,protein_coding,AKAP17A-201
AKAP5,AKAP5,37.55,protein_coding,AKAP5-202
AKAP6,AKAP6,37.92,protein_coding,AKAP6-201
AKAP7,AKAP7,38.28,protein_coding,AKAP7-204
AKAP8,AKAP8,53.24,protein_coding,AKAP8-201
AKAP8L,AKAP8L,48.86,protein_coding,AKAP8L-201
AKAP9,AKAP9,36.72,protein_coding,AKAP9-201
AKIP1,AKIP1,46.42,protein_coding,AKIP1-201
AKIRIN1,AKIRIN1,43.8,protein_coding,AKIRIN1-202
AKIRIN2,AKIRIN2,40.79,protein_coding,AKIRIN2-201
AKNA,AKNA,50.65,protein_coding,AKNA-206
AKR1A1,AKR1A1,49.1,protein_coding,AKR1A1-202
AKR1B1,AKR1B1,50.04,protein_coding,AKR1B1-201
AKR1B15,AKR1B15,45.52,protein_coding,AKR1B15-202
AKR1C1,AKR1C1,38.5,protein_coding,AKR1C1-205
AKR1D1,AKR1D1,39.26,protein_coding,AKR1D1-205
AKT1,AKT1,64.08,protein_coding,AKT1-208
AKT2,AKT2,53.61,protein_coding,AKT2-206
AKT3,AKT3,37.34,protein_coding,AKT3-202
AKTIP,AKTIP,45.45,protein_coding,AKTIP-202
ALAD,ALAD,51.37,protein_coding,ALAD-201
ALAS1,ALAS1,45.47,protein_coding,ALAS1-204
ALCAM,ALCAM,35.29,protein_coding,ALCAM-201
ALDH16A1,ALDH16A1,56.84,protein_coding,ALDH16A1-201
ALDH18A1,ALDH18A1,43.15,protein_coding,ALDH18A1-202
ALDH1B1,ALDH1B1,51.33,protein_coding,ALDH1B1-201
ALDH1L1,ALDH1L1,47.42,protein_coding,ALDH1L1-201
ALDH1L2,ALDH1L2,40.08,protein_coding,ALDH1L2-203
ALDH2,ALDH2,48.79,protein_coding,ALDH2-202
ALDH3A2,ALDH3A2,45.09,protein_coding,ALDH3A2-221
ALDH3B1,ALDH3B1,58.4,protein_coding,ALDH3B1-204
ALDH3B2,ALDH3B2,52.58,protein_coding,ALDH3B2-204
ALDH5A1,ALDH5A1,43.1,protein_coding,ALDH5A1-202
ALDH6A1,ALDH6A1,43.41,protein_coding,ALDH6A1-202
ALDH7A1,ALDH7A1,43.04,protein_coding,ALDH7A1-234
ALDH8A1,ALDH8A1,42.53,protein_coding,ALDH8A1-201
ALDH9A1,ALDH9A1,40.34,protein_coding,ALDH9A1-201
ALG1,ALG1,49.3,protein_coding,ALG1-209
ALG10B,ALG10B,33.73,protein_coding,ALG10B-201
ALG11,ALG11,41.5,protein_coding,ALG11-203
ALG13,ALG13,37.51,protein_coding,ALG13-218
ALG14,ALG14,40.49,protein_coding,ALG14-201
ALG3,ALG3,51.41,protein_coding,ALG3-202
ALG5,ALG5,39.24,protein_coding,ALG5-201
ALG6,ALG6,37.94,protein_coding,ALG6-207
ALG8,ALG8,42.14,protein_coding,ALG8-214
ALG9,ALG9,40.69,protein_coding,ALG9-211
ALKBH2,ALKBH2,51.05,protein_coding,ALKBH2-201
ALKBH4,ALKBH4,54.36,protein_coding,ALKBH4-201
ALKBH5,ALKBH5,50.24,protein_coding,ALKBH5-203
ALKBH6,ALKBH6,56.33,protein_coding,ALKBH6-216
ALMS1,ALMS1,38.69,protein_coding,ALMS1-204
ALPK1,ALPK1,40.45,protein_coding,ALPK1-216
ALS2,ALS2,37.99,protein_coding,ALS2-201
ALYREF,ALYREF,57.54,protein_coding,ALYREF-202
AMBRA1,AMBRA1,43.63,protein_coding,AMBRA1-201
AMD1,AMD1,41.39,protein_coding,AMD1-205
AMER1,AMER1,50.92,protein_coding,AMER1-201
AMFR,AMFR,42.21,protein_coding,AMFR-201
AMN1,AMN1,40.53,protein_coding,AMN1-201
AMT,AMT,54.51,protein_coding,AMT-201
AMY2B,AMY2B,34.92,protein_coding,AMY2B-205
AMZ2,AMZ2,42.76,protein_coding,AMZ2-202
ANAPC1,ANAPC1,42.42,protein_coding,ANAPC1-211
ANAPC10,ANAPC10,37.48,protein_coding,ANAPC10-218
ANAPC11,ANAPC11,55.3,protein_coding,ANAPC11-205
ANAPC13,ANAPC13,45.33,protein_coding,ANAPC13-204
ANAPC15,ANAPC15,52.32,protein_coding,ANAPC15-203
ANAPC16,ANAPC16,43.46,protein_coding,ANAPC16-203
ANAPC4,ANAPC4,37.97,protein_coding,ANAPC4-201
ANAPC5,ANAPC5,44.55,protein_coding,ANAPC5-203
ANAPC7,ANAPC7,45.87,protein_coding,ANAPC7-203
ANGEL2,ANGEL2,38.71,protein_coding,ANGEL2-202
ANGPT2,ANGPT2,40.71,protein_coding,ANGPT2-201
ANGPT4,ANGPT4,50.62,protein_coding,ANGPT4-201
ANK3,ANK3,37.75,protein_coding,ANK3-201
ANKDD1A,ANKDD1A,46.76,protein_coding,ANKDD1A-206
ANKEF1,ANKEF1,37.26,protein_coding,ANKEF1-203
ANKFY1,ANKFY1,44.9,protein_coding,ANKFY1-201
ANKH,ANKH,43.86,protein_coding,ANKH-201
ANKHD1,ANKHD1,38.44,protein_coding,ANKHD1-203
ANKIB1,ANKIB1,36.83,protein_coding,ANKIB1-201
ANKLE1,ANKLE1,57.78,protein_coding,ANKLE1-203
ANKLE2,ANKLE2,50.97,protein_coding,ANKLE2-201
ANKRD10,ANKRD10,40,protein_coding,ANKRD10-201
ANKRD11,ANKRD11,51.19,protein_coding,ANKRD11-201
ANKRD12,ANKRD12,37.33,protein_coding,ANKRD12-209
ANKRD13A,ANKRD13A,44,protein_coding,ANKRD13A-208
ANKRD13C,ANKRD13C,37.51,protein_coding,ANKRD13C-202
ANKRD13D,ANKRD13D,53.51,protein_coding,ANKRD13D-202
ANKRD16,ANKRD16,46.86,protein_coding,ANKRD16-203
ANKRD17,ANKRD17,36.17,protein_coding,ANKRD17-202
ANKRD22,ANKRD22,37.87,protein_coding,ANKRD22-201
ANKRD26,ANKRD26,38.15,protein_coding,ANKRD26-203
ANKRD27,ANKRD27,48.98,protein_coding,ANKRD27-201
ANKRD28,ANKRD28,37.11,protein_coding,ANKRD28-201
ANKRD30B,ANKRD30B,35.41,protein_coding,ANKRD30B-203
ANKRD36,ANKRD36,35.99,protein_coding,ANKRD36-208
ANKRD36B,ANKRD36B,35.8,protein_coding,ANKRD36B-202
ANKRD36C,ANKRD36C,35.73,protein_coding,ANKRD36C-202
ANKRD39,ANKRD39,51.5,protein_coding,ANKRD39-202
ANKRD40,ANKRD40,44.45,protein_coding,ANKRD40-201
ANKRD40CL,ANKRD40CL,46.21,protein_coding,ANKRD40CL-201
ANKRD42,ANKRD42,39.12,protein_coding,ANKRD42-202
ANKRD44,ANKRD44,40.24,protein_coding,ANKRD44-206
ANKRD45,ANKRD45,39.61,protein_coding,ANKRD45-201
ANKRD46,ANKRD46,39.74,protein_coding,ANKRD46-206
ANKRD49,ANKRD49,36.46,protein_coding,ANKRD49-210
ANKRD50,ANKRD50,35.15,protein_coding,ANKRD50-201
ANKRD54,ANKRD54,50.74,protein_coding,ANKRD54-201
ANKRD6,ANKRD6,43.03,protein_coding,ANKRD6-202
ANKRD62,ANKRD62,36.41,protein_coding,ANKRD62-202
ANKRD9,ANKRD9,59.94,protein_coding,ANKRD9-201
ANKS1B,ANKS1B,37.84,protein_coding,ANKS1B-233
ANKS3,ANKS3,49.79,protein_coding,ANKS3-219
ANKS4B,ANKS4B,42.41,protein_coding,ANKS4B-201
ANKZF1,ANKZF1,49.05,protein_coding,ANKZF1-201
ANO1,ANO1,54.71,protein_coding,ANO1-202
ANO10,ANO10,40.85,protein_coding,ANO10-215
ANO6,ANO6,39.44,protein_coding,ANO6-204
ANP32A,ANP32A,49.39,protein_coding,ANP32A-203
ANP32B,ANP32B,43.52,protein_coding,ANP32B-201
ANP32E,ANP32E,42.62,protein_coding,ANP32E-208
ANTXR2,ANTXR2,35.81,protein_coding,ANTXR2-203
ANXA1,ANXA1,34.68,protein_coding,ANXA1-201
ANXA11,ANXA11,50.39,protein_coding,ANXA11-202
ANXA13,ANXA13,44.25,protein_coding,ANXA13-201
ANXA2,ANXA2,44.95,protein_coding,ANXA2-202
ANXA3,ANXA3,39.9,protein_coding,ANXA3-201
ANXA4,ANXA4,41.93,protein_coding,ANXA4-203
ANXA5,ANXA5,38.94,protein_coding,ANXA5-201
ANXA7,ANXA7,40.79,protein_coding,ANXA7-202
AOPEP,AOPEP,42.89,protein_coding,AOPEP-201
AP1AR,AP1AR,36.72,protein_coding,AP1AR-201
AP1B1,AP1B1,49.33,protein_coding,AP1B1-211
AP1G1,AP1G1,40.73,protein_coding,AP1G1-201
AP1G2,AP1G2,55.18,protein_coding,AP1G2-201
AP1M1,AP1M1,51.59,protein_coding,AP1M1-201
AP1M2,AP1M2,51.96,protein_coding,AP1M2-202
AP1S3,AP1S3,42.41,protein_coding,AP1S3-206
AP2A1,AP2A1,54.57,protein_coding,AP2A1-201
AP2A2,AP2A2,53.1,protein_coding,AP2A2-217
AP2B1,AP2B1,39.93,protein_coding,AP2B1-204
AP2M1,AP2M1,54.13,protein_coding,AP2M1-202
AP2S1,AP2S1,52.87,protein_coding,AP2S1-202
AP3B1,AP3B1,36.53,protein_coding,AP3B1-201
AP3B2,AP3B2,48.96,protein_coding,AP3B2-214
AP3D1,AP3D1,56.41,protein_coding,AP3D1-201
AP3M1,AP3M1,41.25,protein_coding,AP3M1-201
AP3S1,AP3S1,36.59,protein_coding,AP3S1-201
AP3S2,AP3S2,44.42,protein_coding,AP3S2-201
AP4B1,AP4B1,42.99,protein_coding,AP4B1-203
AP4E1,AP4E1,37.92,protein_coding,AP4E1-207
AP4M1,AP4M1,56.13,protein_coding,AP4M1-202
AP4S1,AP4S1,41.95,protein_coding,AP4S1-210
AP5M1,AP5M1,35.15,protein_coding,AP5M1-201
AP5S1,AP5S1,51.08,protein_coding,AP5S1-203
APAF1,APAF1,39.48,protein_coding,APAF1-210
APBA3,APBA3,56.61,protein_coding,APBA3-203
APBB2,APBB2,42.41,protein_coding,APBB2-201
APC,APC,37.63,protein_coding,APC-209
APEH,APEH,58.07,protein_coding,APEH-201
APEX1,APEX1,47.06,protein_coding,APEX1-210
APEX2,APEX2,49.09,protein_coding,APEX2-201
API5,API5,37.75,protein_coding,API5-211
APIP,APIP,40.43,protein_coding,APIP-203
APLP1,APLP1,57.02,protein_coding,APLP1-202
APLP2,APLP2,43.97,protein_coding,APLP2-226
APMAP,APMAP,46.35,protein_coding,APMAP-202
APOBEC3C,APOBEC3C,52.56,protein_coding,APOBEC3C-201
APOBEC3D,APOBEC3D,54.3,protein_coding,APOBEC3D-201
APOBEC3G,APOBEC3G,54.63,protein_coding,APOBEC3G-201
APOD,APOD,45.96,protein_coding,APOD-201
APOE,APOE,61.06,protein_coding,APOE-201
APOL1,APOL1,50.01,protein_coding,APOL1-202
APOL2,APOL2,49.58,protein_coding,APOL2-202
APOL4,APOL4,49.11,protein_coding,APOL4-211
APOL6,APOL6,41.58,protein_coding,APOL6-201
APOLD1,APOLD1,42.82,protein_coding,APOLD1-204
APOO,APOO,43.27,protein_coding,APOO-206
APOOL,APOOL,37.14,protein_coding,APOOL-201
APP,APP,39.73,protein_coding,APP-201
APPBP2,APPBP2,39.71,protein_coding,APPBP2-201
APPL1,APPL1,37.48,protein_coding,APPL1-209
APPL2,APPL2,43.64,protein_coding,APPL2-201
APRT,APRT,64.29,protein_coding,APRT-201
APTX,APTX,42.02,protein_coding,APTX-247
AQR,AQR,37.52,protein_coding,AQR-201
AR,AR,39.68,protein_coding,AR-201
ARAF,ARAF,51.23,protein_coding,ARAF-203
ARAP2,ARAP2,35.53,protein_coding,ARAP2-202
ARCN1,ARCN1,42.33,protein_coding,ARCN1-203
AREL1,AREL1,42.31,protein_coding,AREL1-208
ARF1,ARF1,52.33,protein_coding,ARF1-201
ARF3,ARF3,47.69,protein_coding,ARF3-201
ARF4,ARF4,41.71,protein_coding,ARF4-201
ARF5,ARF5,56.14,protein_coding,ARF5-201
ARF6,ARF6,43.29,protein_coding,ARF6-201
ARFGAP1,ARFGAP1,59.73,protein_coding,ARFGAP1-203
ARFGAP2,ARFGAP2,53.19,protein_coding,ARFGAP2-205
ARFGAP3,ARFGAP3,45,protein_coding,ARFGAP3-201
ARFGEF1,ARFGEF1,38.38,protein_coding,ARFGEF1-207
ARFGEF2,ARFGEF2,43.25,protein_coding,ARFGEF2-201
ARFGEF3,ARFGEF3,41.61,protein_coding,ARFGEF3-201
ARFIP1,ARFIP1,37.33,protein_coding,ARFIP1-205
ARFIP2,ARFIP2,52.8,protein_coding,ARFIP2-201
ARFRP1,ARFRP1,62.43,protein_coding,ARFRP1-208
ARGLU1,ARGLU1,37.63,protein_coding,ARGLU1-203
ARHGAP1,ARHGAP1,53.08,protein_coding,ARHGAP1-201
ARHGAP11A,ARHGAP11A,37.87,protein_coding,ARHGAP11A-211
ARHGAP12,ARHGAP12,36.94,protein_coding,ARHGAP12-201
ARHGAP15,ARHGAP15,36.48,protein_coding,ARHGAP15-202
ARHGAP17,ARHGAP17,44.36,protein_coding,ARHGAP17-201
ARHGAP18,ARHGAP18,38.51,protein_coding,ARHGAP18-201
ARHGAP21,ARHGAP21,39.03,protein_coding,ARHGAP21-203
ARHGAP22,ARHGAP22,47.75,protein_coding,ARHGAP22-201
ARHGAP26,ARHGAP26,42.17,protein_coding,ARHGAP26-222
ARHGAP27,ARHGAP27,54.68,protein_coding,ARHGAP27-242
ARHGAP28,ARHGAP28,39.1,protein_coding,ARHGAP28-203
ARHGAP29,ARHGAP29,38.07,protein_coding,ARHGAP29-204
ARHGAP32,ARHGAP32,36.86,protein_coding,ARHGAP32-201
ARHGAP35,ARHGAP35,46.43,protein_coding,ARHGAP35-207
ARHGAP44,ARHGAP44,42.69,protein_coding,ARHGAP44-203
ARHGAP5,ARHGAP5,36.95,protein_coding,ARHGAP5-208
ARHGAP8,ARHGAP8,51.22,protein_coding,ARHGAP8-204
ARHGDIA,ARHGDIA,68.15,protein_coding,ARHGDIA-210
ARHGDIB,ARHGDIB,41.11,protein_coding,ARHGDIB-201
ARHGDIG,ARHGDIG,69.54,protein_coding,ARHGDIG-203
ARHGEF1,ARHGEF1,58.25,protein_coding,ARHGEF1-203
ARHGEF10,ARHGEF10,50.01,protein_coding,ARHGEF10-201
ARHGEF12,ARHGEF12,37.52,protein_coding,ARHGEF12-201
ARHGEF26,ARHGEF26,38.95,protein_coding,ARHGEF26-209
